

[07/09/2023, 20:39:29] plate_detected; ['BBW3770']
[07/09/2023, 20:39:29] plate_detected; ['BWC2770']
[07/09/2023, 20:39:29] plate_detected; ['BQC2770']
[07/09/2023, 20:39:30] plate_detected; ['BWLZ770']
[07/09/2023, 20:39:30] plate_detected; ['BWL2770']
[07/09/2023, 20:39:30] plate_detected; ['RWWL770']
[07/09/2023, 20:39:30] plate_detected; ['NUWF7']
[07/09/2023, 20:39:30] plate_detected; ['NABWFTX1']
[07/09/2023, 20:39:31] plate_detected; ['BWQWV']
[07/09/2023, 20:39:31] plate_detected; ['BB23']
[07/09/2023, 20:39:31] plate_detected; ['442X']

[07/09/2023, 20:53:46] plate_detected; ['AQ55']
[07/09/2023, 20:53:46] plate_detected; ['BAN3685']

[07/09/2023, 21:31:03] plate_detected; ['APZ00']
[07/09/2023, 21:31:03] plate_detected; ['BAPW105']
[07/09/2023, 21:31:03] plate_detected; ['BPW105']
[07/09/2023, 21:31:03] plate_detected; ['BPWV25']
[07/09/2023, 21:31:04] plate_detected; ['BFW1VW52']
[07/09/2023, 21:31:04] plate_detected; ['BJN2']
[07/09/2023, 21:31:04] plate_detected; ['BQFJVWN25']
[07/09/2023, 21:31:04] plate_detected; ['BFJVWW71']
[07/09/2023, 21:31:05] plate_detected; ['AFWVW55']

[07/09/2023, 21:45:37] plate_detected; ['AWY7581']
[07/09/2023, 21:45:37] plate_detected; ['AWY7773']
[07/09/2023, 21:45:38] plate_detected; ['AWVY7N3']
[07/09/2023, 21:45:38] plate_detected; ['AWY7N023']
[07/09/2023, 21:45:38] plate_detected; ['AWY2']
